ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-01,62241.808963530006,71094.60375650205,76900.43739991935,62241.808963530006,62241.808963530006,11703.623986360219,11703.623986360219,11703.623986360219,11443.020755601454,11443.020755601454,11443.020755601454,260.6032307587652,260.6032307587652,260.6032307587652,0.0,0.0,0.0,73945.43294989022
2019-01-02,62242.182727960375,74100.39243796414,80075.15658001679,62242.182727960375,62242.182727960375,14937.789216853882,14937.789216853882,14937.789216853882,14287.696813025153,14287.696813025153,14287.696813025153,650.0924038287278,650.0924038287278,650.0924038287278,0.0,0.0,0.0,77179.97194481426
2019-01-03,62242.556492390744,66720.9135760919,72521.597971529,62242.556492390744,62242.556492390744,7394.0501718146825,7394.0501718146825,7394.0501718146825,6353.841117908695,6353.841117908695,6353.841117908695,1040.209053905987,1040.209053905987,1040.209053905987,0.0,0.0,0.0,69636.60666420542
2019-01-04,62242.93025682111,54023.89526169564,60182.092470290394,62242.93025682111,62242.93025682111,-4927.111127982019,-4927.111127982019,-4927.111127982019,-6357.843660715534,-6357.843660715534,-6357.843660715534,1430.732532733515,1430.732532733515,1430.732532733515,0.0,0.0,0.0,57315.819128839095
2019-01-05,62243.30402125148,47016.58874157842,52798.44797875623,62243.30402125148,62243.30402125148,-12432.482862029456,-12432.482862029456,-12432.482862029456,-14253.901407911795,-14253.901407911795,-14253.901407911795,1821.4185458823383,1821.4185458823383,1821.4185458823383,0.0,0.0,0.0,49810.821159222025
2019-01-06,62243.67778568184,50047.07283024003,55983.87456966658,62243.67778568184,62243.67778568184,-9248.701095619437,-9248.701095619437,-9248.701095619437,-11460.70372054298,-11460.70372054298,-11460.70372054298,2212.0026249235425,2212.0026249235425,2212.0026249235425,0.0,0.0,0.0,52994.9766900624
2019-01-07,62244.051550112206,62095.77385214387,67947.1291970722,62244.051550112206,62244.051550112206,2590.0942639115888,2590.0942639115888,2590.0942639115888,-12.109897349524605,-12.109897349524605,-12.109897349524605,2602.2041612611133,2602.2041612611133,2602.2041612611133,0.0,0.0,0.0,64834.145814023796
2019-01-08,62244.425314542576,73827.32900751781,79598.16932460571,62244.425314542576,62244.425314542576,14434.751650006508,14434.751650006508,14434.751650006508,11443.02075560757,11443.02075560757,11443.02075560757,2991.7308943989397,2991.7308943989397,2991.7308943989397,0.0,0.0,0.0,76679.17696454909
2019-01-09,62244.799078972945,76992.1774059928,82960.4450008585,62244.799078972945,62244.799078972945,17667.98054785171,17667.98054785171,17667.98054785171,14287.696813022982,14287.696813022982,14287.696813022982,3380.2837348287253,3380.2837348287253,3380.2837348287253,0.0,0.0,0.0,79912.77962682466
2019-01-10,62245.172843403314,69328.85097171778,75094.8498458177,62245.172843403314,62245.172843403314,10121.402910363786,10121.402910363786,10121.402910363786,6353.8411179239465,6353.8411179239465,6353.8411179239465,3767.56179243984,3767.56179243984,3767.56179243984,0.0,0.0,0.0,72366.5757537671
2019-01-11,62245.54660783368,57154.172428109,62684.35433111022,62245.54660783368,62245.54660783368,-2204.57618509823,-2204.57618509823,-2204.57618509823,-6357.843660724248,-6357.843660724248,-6357.843660724248,4153.267475626018,4153.267475626018,4153.267475626018,0.0,0.0,0.0,60040.97042273545
2019-01-12,62245.92037226405,49793.66183747856,55807.81789658175,62245.92037226405,62245.92037226405,-9716.789883704292,-9716.789883704292,-9716.789883704292,-14253.901407913965,-14253.901407913965,-14253.901407913965,4537.111524209674,4537.111524209674,4537.111524209674,0.0,0.0,0.0,52529.130488559764
2019-01-13,62246.29413669442,52713.40596117878,58748.90435126348,62246.29413669442,62246.29413669442,-6541.8858794659745,-6541.8858794659745,-6541.8858794659745,-11460.703720553529,-11460.703720553529,-11460.703720553529,4918.8178410875535,4918.8178410875535,4918.8178410875535,0.0,0.0,0.0,55704.408257228446
2019-01-14,62246.66790112479,64519.303573171215,70416.44196917552,62246.66790112479,62246.66790112479,5286.018095568784,5286.018095568784,5286.018095568784,-12.109897339855646,-12.109897339855646,-12.109897339855646,5298.1279929086395,5298.1279929086395,5298.1279929086395,0.0,0.0,0.0,67532.68599669357
2019-01-15,62247.04166555516,76435.9246509723,82168.17237220072,62247.04166555516,62247.04166555516,17117.82601473316,17117.82601473316,17117.82601473316,11443.020755596921,11443.020755596921,11443.020755596921,5674.8052591362375,5674.8052591362375,5674.8052591362375,0.0,0.0,0.0,79364.86768028833
